Interval 2 (chr1, + strand)
EquCab2	chr1	155162417	155165646	+
Arabian	chr1	155162351	155162802	+
Arabian	chr1	155162804	155163041	+
Arabian	chr1	155163046	155163527	+
Arabian	chr1	155163549	155163617	+
Arabian	chr1	155163639	155164719	+
Arabian	chr1	155164724	155165673	+
CGG10022	chr1	155162362	155162528	+
CGG10022	chr1	155162616	155162680	+
CGG10022	chr1	155163006	155163134	+
CGG10022	chr1	155163333	155163400	+
CGG10022	chr1	155163500	155163593	+
CGG10022	chr1	155163737	155163818	+
CGG10022	chr1	155164040	155164157	+
CGG10022	chr1	155164283	155164385	+
CGG10022	chr1	155164596	155164691	+
CGG10022	chr1	155164701	155164826	+
CGG10022	chr1	155164897	155164962	+
CGG10022	chr1	155165236	155165494	+
CGG10022	chr1	155165562	155165627	+
Donkey	chr1	155162318	155165686	+
Fjord2	chr1	155162334	155162798	+
Fjord2	chr1	155162833	155163285	+
Fjord2	chr1	155163305	155163391	+
Fjord2	chr1	155163448	155163583	+
Fjord2	chr1	155163609	155163883	+
Fjord2	chr1	155163892	155164514	+
Fjord2	chr1	155164526	155165657	+
Icelandic	chr1	155162354	155164879	+
Icelandic	chr1	155164913	155165669	+
Przewalski	chr1	155162346	155165636	+
Quarter	chr1	155162397	155162712	+
Quarter	chr1	155162748	155163126	+
Quarter	chr1	155163149	155163224	+
Quarter	chr1	155163246	155164188	+
Quarter	chr1	155164190	155164444	+
Quarter	chr1	155164463	155164925	+
Quarter	chr1	155164956	155165031	+
Quarter	chr1	155165051	155165126	+
Quarter	chr1	155165153	155165620	+
Standard	chr1	155162324	155163341	+
Standard	chr1	155163439	155164561	+
Standard	chr1	155164562	155164664	+
Standard	chr1	155164671	155165689	+
Swedish30X	chr1	155162293	155165826	+
TC21h	chr1	155162414	155162450	+
TC21h	chr1	155162514	155162579	+
TC21h	chr1	155162616	155162661	+
TC21h	chr1	155162957	155162994	+
TC21h	chr1	155163108	155163138	+
TC21h	chr1	155163298	155163326	+
TC21h	chr1	155163394	155163446	+
TC21h	chr1	155163482	155163506	+
TC21h	chr1	155163625	155163652	+
TC21h	chr1	155163894	155163924	+
TC21h	chr1	155164110	155164151	+
TC21h	chr1	155164213	155164258	+
TC21h	chr1	155164271	155164313	+
TC21h	chr1	155164667	155164703	+
TC21h	chr1	155164706	155164740	+
TC21h	chr1	155165062	155165119	+
TC21h	chr1	155165537	155165587	+
TC21i	chr1	155162398	155162470	+
TC21i	chr1	155162617	155162713	+
TC21i	chr1	155162762	155162867	+
TC21i	chr1	155163032	155163084	+
TC21i	chr1	155163122	155163221	+
TC21i	chr1	155163538	155163598	+
TC21i	chr1	155164212	155164291	+
TC21i	chr1	155164654	155164743	+
TC21i	chr1	155164750	155164817	+
TC21i	chr1	155164921	155164986	+
TC21i	chr1	155165219	155165294	+
TC21i	chr1	155165349	155165409	+
TC21i	chr1	155165600	155165652	+
Twilight	chr1	155162264	155165775	+
