Interval 1 (chr1, + strand)
EquCab2	chr1	133013058	133016809	+
Arabian	chr1	133013010	133014835	+
Arabian	chr1	133014844	133016881	+
CGG10022	chr1	133013020	133013113	+
CGG10022	chr1	133013197	133013346	+
CGG10022	chr1	133013366	133013433	+
CGG10022	chr1	133013434	133013631	+
CGG10022	chr1	133013645	133013715	+
CGG10022	chr1	133013784	133013929	+
CGG10022	chr1	133013962	133014056	+
CGG10022	chr1	133014233	133014303	+
CGG10022	chr1	133014627	133014678	+
CGG10022	chr1	133014690	133014785	+
CGG10022	chr1	133014822	133014937	+
CGG10022	chr1	133015075	133015195	+
CGG10022	chr1	133015220	133015298	+
CGG10022	chr1	133015301	133015369	+
CGG10022	chr1	133015378	133015571	+
CGG10022	chr1	133015641	133015908	+
CGG10022	chr1	133015919	133016029	+
CGG10022	chr1	133016092	133016186	+
CGG10022	chr1	133016231	133016394	+
CGG10022	chr1	133016497	133016749	+
Donkey	chr1	133012994	133013600	+
Donkey	chr1	133013602	133014067	+
Donkey	chr1	133014069	133014333	+
Donkey	chr1	133014397	133016880	+
Fjord2	chr1	133012985	133014298	+
Fjord2	chr1	133014358	133015231	+
Fjord2	chr1	133015267	133015399	+
Fjord2	chr1	133015408	133015906	+
Fjord2	chr1	133015913	133016831	+
Icelandic	chr1	133012954	133013415	+
Icelandic	chr1	133013420	133016932	+
Przewalski	chr1	133013020	133014435	+
Przewalski	chr1	133014473	133015618	+
Przewalski	chr1	133015644	133016855	+
Quarter	chr1	133012985	133014404	+
Quarter	chr1	133014421	133014608	+
Quarter	chr1	133014627	133016113	+
Quarter	chr1	133016132	133016790	+
Quarter	chr1	133016806	133016881	+
Standard	chr1	133012956	133016919	+
Swedish30X	chr1	133012946	133016904	+
TC21h	chr1	133013286	133013334	+
TC21h	chr1	133013619	133013649	+
TC21h	chr1	133014040	133014078	+
TC21h	chr1	133014091	133014126	+
TC21h	chr1	133014214	133014250	+
TC21h	chr1	133014498	133014556	+
TC21h	chr1	133014776	133014803	+
TC21h	chr1	133014981	133015027	+
TC21h	chr1	133015244	133015304	+
TC21h	chr1	133015355	133015403	+
TC21h	chr1	133015591	133015618	+
TC21h	chr1	133015700	133015741	+
TC21h	chr1	133015853	133015891	+
TC21h	chr1	133016176	133016222	+
TC21h	chr1	133016583	133016623	+
TC21i	chr1	133012995	133013088	+
TC21i	chr1	133013223	133013367	+
TC21i	chr1	133013450	133013501	+
TC21i	chr1	133014062	133014140	+
TC21i	chr1	133014466	133014529	+
TC21i	chr1	133014944	133015108	+
TC21i	chr1	133015185	133015241	+
TC21i	chr1	133015412	133015496	+
TC21i	chr1	133015690	133015780	+
TC21i	chr1	133015860	133015934	+
TC21i	chr1	133015989	133016055	+
TC21i	chr1	133016087	133016147	+
TC21i	chr1	133016502	133016648	+
TC21i	chr1	133016680	133016730	+
Twilight	chr1	133012924	133016885	+
